ID,Timestamp,Days,Hours,Minutes,RawData
C1,20101,0,5,35,###C1#T0#S2_3.94#T1#S3_39.3#T2#S1_69.47_A11#T3#S1_11.02_A11#T4#S1_12.09_A11#T5#S1_12.91_A11#T6#S1_12.52_A11#E#
C1,20401,0,5,40,###C1#T0#S2_3.94#T1#S3_38.8#T2#S1_66.21_A11#T3#S1_60.29_A11#T4#S1_11.78_A11#T5#S1_12.51_A11#T6#S1_12.23_A11#E#
C1,20701,0,5,45,###C1#T0#S2_3.94#T1#S3_38.5#T2#S1_63.20_A11#T3#S1_57.22_A11#T4#S1_33.15_A11#T5#S1_11.97_A11#T6#S1_11.84_A11#E#
C1,21001,0,5,50,###C1#T0#S2_3.94#T1#S3_38.3#T2#S1_60.15_A11#T3#S1_54.26_A11#T4#S1_56.48_A11#T5#S1_11.88_A11#T6#S1_11.32_A11#E#
C1,21301,0,5,55,###C1#T0#S2_3.94#T1#S3_38.3#T2#S1_57.05_A11#T3#S1_51.27_A11#T4#S1_53.56_A11#T5#S1_55.53_A11#T6#S1_11.16_A11#E#
C1,21601,0,6,0,###C1#T0#S2_3.94#T1#S3_38.3#T2#S1_54.14_A11#T3#S1_48.53_A11#T4#S1_50.74_A11#T5#S1_52.67_A11#T6#S1_59.68_A11#E#
C1,21901,0,6,5,###C1#T0#S2_3.94#T1#S3_37.8#T2#S1_51.14_A11#T3#S1_45.56_A11#T4#S1_47.84_A11#T5#S1_49.60_A11#T6#S1_56.71_A11#E#
C1,22201,0,6,10,###C1#T0#S2_3.94#T1#S3_37.5#T2#S1_48.07_A11#T3#S1_42.67_A11#T4#S1_44.87_A11#T5#S1_46.43_A11#T6#S1_53.43_A11#E#
C1,22501,0,6,15,###C1#T0#S2_3.94#T1#S3_37.3#T2#S1_44.99_A11#T3#S1_39.92_A11#T4#S1_42.10_A11#T5#S1_43.51_A11#T6#S1_50.39_A11#E#
C1,22801,0,6,20,###C1#T0#S2_3.94#T1#S3_37.0#T2#S1_41.89_A11#T3#S1_9.14_A11#T4#S1_10.05_A11#T5#S1_10.35_A11#T6#S1_9.86_A11#E#
C1,23101,0,6,25,###C1#T0#S2_3.94#T1#S3_36.3#T2#S1_39.15_A11#T3#S1_8.80_A11#T4#S1_9.66_A11#T5#S1_9.94_A11#T6#S1_9.46_A11#E#
C1,23401,0,6,30,###C1#T0#S2_3.94#T1#S3_35.0#T2#S1_36.27_A11#T3#S1_8.53_A11#T4#S1_9.35_A11#T5#S1_9.63_A11#T6#S1_9.15_A11#E#
C1,23701,0,6,35,###C1#T0#S2_3.94#T1#S3_33.5#T2#S1_14.94_A11#T3#S1_8.24_A11#T4#S1_9.02_A11#T5#S1_9.29_A11#T6#S1_8.83_A11#E#
C1,24001,0,6,40,###C1#T0#S2_3.94#T1#S3_32.0#T2#S1_10.65_A11#T3#S1_7.95_A11#T4#S1_8.69_A11#T5#S1_8.93_A11#T6#S1_8.49_A11#E#
C1,24301,0,6,45,###C1#T0#S2_3.94#T1#S3_30.5#T2#S1_10.26_A11#T3#S1_7.64_A11#T4#S1_8.33_A11#T5#S1_8.56_A11#T6#S1_8.14_A11#E#
C1,24601,0,6,50,###C1#T0#S2_3.94#T1#S3_29.5#T2#S1_10.46_A11#T3#S1_7.31_A11#T4#S1_7.95_A11#T5#S1_8.17_A11#T6#S1_7.77_A11#E#
C1,24901,0,6,55,###C1#T0#S2_3.94#T1#S3_28.8#T2#S1_9.32_A11#T3#S1_6.98_A11#T4#S1_7.59_A11#T5#S1_7.78_A11#T6#S1_7.41_A11#E#
